review,sentiment
swedish splatter movie world gone insane br br probably still common sight day swedish gore flick b movie business sweden seems trouble day long gone golden day rymdinvasion lappland movie seems trouble much talk still manages somewhat amusing mainly good fx great b movie script acting still pretty bad though actually matter much supposed gore flick nothing go bit wrong reason simply enough blood fill void br br every person know gert fylking good laugh role sgt though nearly laughed as really hilariously bad br br besides good part listed really nothing else recommend unless starved swedish b movie br br,0
winning championship fight boxer john garfield johnnie bradfield celebrates drinking binge lead manslaughter pushy reporter although manager killed man mr garfield blamed manager dy car crash wearing garfield stolen watch authority think boxer dead still wanted man garfield change identity jack dorney move arizona ranch garfield meet dead end kid billy halop tommy bobby jordan angel leo gorcey spit huntz hall dippy gabriel dell b bernard punsly milt br br garfield bond young dead end lad sent stay sweet grandma rafferty may robson alternative reform school courtesy brother deceased priest father rafferty garfield fall love halop sister pretty peggy gloria dickson keep eye kid course garfield past come back haunt br br john garfield dead end kid make beautiful max steiner music together thanks effective direction photography busby berkeley james wong howe story predictably comfortable warner brother support team fine form garfield dead end kid winning combination although garfield made movie east side gang studio team billy halop bobby jordan almost immediately dust destiny br br boxing scene nicely staged exciting sequence garfield four new york kid halop jordan hall punsly climbing giant water tank swim unexpectedly put life danger brief highlight include floozy ann sheridan goldie boozy barbara pepper budgie young ronald sinclair douglas losing strip poker br br made criminal busby berkeley john garfield billy halop bobby jordan,1
husband got done watching movie expecting good really astonished great story line usually good figuring twisty plot one loved going watch take back might even buy,1
emma horribly flawed film based jane austen classic novel read book really know much plot yet still predicted nearly entire plot also many scene frustrated bad writing directing film though reason entertaining loved course scene disliked majority well acted funny gwyneth paltrow give one best performance heroine emma film also star toni collette okay much better ewan mecgreger also better still good alan cumming never really impressed pretty much jeremy northam performance rather wooden first look actually fairly subtle even needed much better adaptation jane austen book one still entertaining worth watching,1
though cher cage focal point story gardenia dukakis good counterpart loretta ronny year still love whole cast nice job aiello john mahoney show real slice life though saw long ago glad finally catapulted cage place recognized hollywood talent music scene opera kitchen table argument entertaining movie,1
take place harlem black owned nightclub deal gangster corrupt policeman br br terrible vanity project eddie murphy try mix comedy drama fails comedy simply funny drama boring badly acted think film three comedy legend eddie murphy redd foxx richard pryor would great nonstop swearing opening scene young boy shooting man death shown ok also beautiful della reese degraded playing madam one comedic highlight long unfunny terribly vicious fight murphy boring offensive stupid mess worst murphy movie pretty close way,0
hired dvd yesterday first started bad aspect ratio film keep getting worse acting bad movie way predictable like watching movie said going happen next guess happened right br br want see good action boxing movie watch one end disappointed low budget movie like go see ali way better,0
read another review thought movie would actually good enjoy b movie even classed photography probably half way decent thing movie editing left much desired choppy staccato whoever chose music sound terrible job music awful specially anything atmospheric scene setting acting better could pulled movie unfortunately seen better acting porn flick want see b vampire movie check blood tie much entertained,0
massive fan book orwell certainly favourite writer ever since studying animal farm gcse bought dvd sheer curiosity burton actor hold high regard heard played role brien swung br br watched trailer dvd first fear started set mostly regarding frankly terrible theme song hearing eurythmics mechanically shouting electronic beat bad sound br br acting whole pretty good burton hurt play role well tension exists ministry truth towards end felt especially harrowing room scene however also movie let movie spends much time focusing love affair winston julia frankly orwell writing writing harrowing future ingsoc build man belief shatter name made love big brother movie skip essentially important part book winstons coming term position life world education via brien br br comment imdb moment state movie stick book completely incorrect julia present winston visit brien commit goldstien brotherhood confess crime obvious mention initial instance winston find article unperson get mentioned near end read book completely confusing br br terrible screenplay excellent acting cannot rescue michael radford seems completely missed point orwell trying make electronica sound track frankly terrible,0
first movie seems bad almost fell trance first time saw like bad dream cosmic bore gave second chance another another etc finally got addicted film due dreamlike slow pace wonderful natural set bathed mellow autumn light especially musical score made progressive rock absolute exquisite folk song actor singer songwriter derek lamb troubadour notice song hazel wood silver trout lady vanishing air heard middle near end film carnal scene beginning wich allow u appreciate natural charm elizabeth suzuki movie made repertoire director like bergman lars von trier jean luc goddard critic would rolled floor raving movie cosmic masterpiece personally think film one million time superior fellini cinematic sh ¤ definitely pretentious,1
production insult stooge especially moe inaccurate poorly acted many event depicted happen way much left skipped read book written moe daughter joan instead waste time,0
dear god kept waiting movie get started waited redeem neither sat dumbfounded could possibly bad wasted couple hour sheer stupidity faith drew possibly made bad movie boy ever lose faith bother one drew tried movie poorly written poorly acted poorly conceived believe script bad ever got funded million chance actually something idea word concept big movie even qualify still go anyplace pitiful reviewer got idea worst baffle believe got worse slit wrist finishing,0
liked solino much heart rending story italian family moving germany story brotherly love hope disappointment film never boring go see solino,1
go many heist comedy might care one actor made first saw year later almost similar happening even though obviously much le serious comedy one mafia figure take kidnapping rather turn different direction altogether course raquel welch play kind sharp character faye dunaway happening make sexist film either practically playing stock character almost version moll completely biased among first film ever saw time saw turn around without seeing poster luckily think robert wagner really right neither thoroughly likable dis likable leader group edward g robinson naturally vittoria de sica godfrey cambridge actor always managed funny,1
switched cable whim treated quite surprise although predictable film turned quite enjoyable big star well directed plain fun hyped crap nice get unexpected surprise little film fit bill nicely,1
thanks jymn magon creating disney best cartoon ever show improved much year kid like thought rip ducktales favorite disney thing time like grandmoffromero later though good great reading review decided give another chance bought dvd set watched whole pilot first day got pleasantly surprised still favorite episode although series live end disc knew going top tenner br br character complex charming favorite got wildcat absolutely hilarious sweet boot next favorite baloo best pilot show see ol jymn built show around kit cloudkicker baloo best relationship series louie jim cummings perfect job impersonating original voice rebecca made laugh pretty hard believe baloo eventually marry finally hero molly although least favorite still like think cute character much better webby ducktales villain original karnage air pirate always crack kahn ice cold ruthless thembrians always least amusing br br said story range hilarious time wait bear romance red chimp nothing short touching old man seaduck paradise lost fun funny exciting adventure search ancient blunder favorite bell klangs favorite episode anyway talespin disney best aside gummi bear reason gb decent amount favorite character cubbi t enough wildcat end talespin remains classic bottom line th best cartoon ever,1
watch film soon eating br br said begotten stick rest life like based nihilistic philosophy life nothing man spasming ground paraphrase title sequence introduction likely contain intense grisly imagery ever see film br br dialogue image image describing cycle life film combination stark black white photography compounded truly creepy background sound work drive home maker message br br movie begin god portrayed bandaged obviously insane man slicing open torso straight razor subsequently dying filth death mother nature emerges corpse impregnate blood semen give birth man represented maggot human convulsing earth br br landscape barren waste populated hulking shrouded humanoid eventually happen upon mother nature man slew violent scene depicting rape nature destruction man humanoid proceed pound remains corps back ground cycle life begin anew br br actually rented blockbuster one night based cover art hype content definitely blockbuster type film expect narrative dialogue pulled punch intense imagery based dark subject br br give movie high mark filmwork audio think watching often like movie dark unique one exponentially expected,1
saw sweeney todd broadway starred george hearn featured cast principal appeared national touring company production videotaped tv los angeles last night watched new dvd release los angeles production although owned videotape many year production performance could hardly better original tape age showed audio video quality modern standard even newly pressed dvd nevertheless still give greatness work george hearns angella lansbury startlingly wonderful performance even today memorable recollection live musical theater performance hearn rendition friend drip ruby brrr,1
love bela lugosi get wrong one interesting people ever make movie certainly share clunkers another one br br lugosi play dr lorenz doctor medical license pulled unexplained reason however experiment keep wife young beautiful revealed year old yet lugosi look mid married old woman never really explained br br anyway treatment experiment involved giving bride altar married sort sweet smelling substance whereby pas thought dead lugosi assistant steal body way morgue take back lab kept sort suspended animation catatonic state stolen bride needle rammed somewhere body maybe neck needle rammed body lugosi wife bring back youth beauty never really see lugosi stick needle draw bride somehow restores wife apparently old age make scream pain lugosi wife lot screaming get back younger state helping lugosi lab good thing movie weird old hag two deformed son one son big lumpy looking slow acting fellow like fondle snoozing bride son mean little dwarf little person politically correct today world night three sort pile sleep lugosi dreary downstairs lab came lugosi scared assistant like lot stuff film never explained br br anyway female reporter given assignment gruff editor find stolen bride going quickly figure one common thing among stolen bride rare orchid found asks around told world renowned orchid expert living nearby happens one developed particular orchid expert turn creepy dr lorenz quickly track upset little house horror sure police came mop reporter done dirty work br br seems lugosi movie always sort unnecessary silly plot line made whole thing stink high heaven mean world famous orchid expert kidnaps bride sending doped orchid known developed oh br br later revealed young lady even bride procedure work would lugosi keep kidnapping bride heavily guarded church experiment create attention newspaper headline grab prostitute street like normal weirdo pervert would clunker reminded lot another lugosi stinker devil bat silly plot line bad acting silly reporter get bad guy deal br br lugosi always good creepy sinister enough keep interested least enough keep watching woman playing reporter terrible actor emotion whatsoever delivered line like machine gun spewing quickly could everyone else pretty much blew came good actor br br thing watchable bela lugosi fan lugosi always intense even picture dog must known terrible picture maybe also knew gave everything little intensity might shine past bad plot bad acting surrounded br br right horror fan always love bela lugosi gave every time front camera give two f k bela,0
lucky see film part melbourne international film festival day ago must admit partial movie focus human relation especially one concentrate tragic side life also love majority scandinavian cinematic offering often particular deep quality way story unfolds character drawn character building film extraordinary detail depth despite fact encounter quite number character particular personal situation location within community audience end screening silent pensive still playing scene mind still amazed power meaningfulness,1
last time rent video without checking imdb review limey directed steven soderbergh also wrote wrote truly awful nightwatch ewan macgregor directed trash sight anti talented jennifer lopez terence stamp fine actor shame involved bad film frequent confusing editing seems like last minute decision order make lack story filming plain common sense film everything wrong thinking,0
large scarred heterosexual male ex bouncer ex rugby player ex boxer love movie br br mystic river piece fluff room life fluff fluff engagingly shot well acted attractive likable people cleverly plotted full good dialogue even room br br biggest tom selleck fan good julianne nicholson love bald head freckle ellen degeneres kate capshaw even tom everett scott thing br br scenery nice mood upbeat heartache wistfulness farce even little redemption br br male reviewer dis movie shall say perfectly confident masculinity meantime continue catch bit piece without apology whenever show cable,1
first mid watchin horror film since kid seen lot variety imo bad multitude gave br br yes low budget horror flick dialog soso acting tolerable sometimes basis film plotwise actually pretty good old enough remember lucky enough seen dvd much like movie week add blood minor gore minor swearing without big name would rather watch jason v godzilla whatever continuois crap tho good evil dead low budget film least give guy credit trying acouple mil budget could pretty good flick score watchable,0
guess first movie made aware term cult flick totally bad movie help like movie richard boone made better joan van arc staying late watching movie make think much one,1
movie full pseudo deep thoughtfulness cloying writerly ness includes canned ham voice unbelievable dialogue dialogue tinny tone deaf way spike sometimes always writing certain character like nonsense film like piece april one hour photo another one br br said comment nothing ryan gosling shown awesome chop believer film prof movie director medium movie rotten fair say fault lie actor,0
spent hour drenched film nothing ever seen come close delicious funk film left never mind female advanced aging dilemma human fear vault screen viewing personally engaging ninth degree film invests one undeniable shared feeling life enjoyed dalliance raw wounded gall deep within empowers mutually shared vestment history human encounter reaching far deeper pain isolation skewed view self others result forgives tepid forming bridge away muddy sludge dead must encounter birth finding real people happy pursuit effort realism intersects dark ground bankrupt culture,1
nice see bruce willis come action throne let u see really talented actor shine film near year old image consultant totally lost touch inner child meet face face one rare film talk audience truly offer something whole family caring keeping child inside realizing grow exactly way thought would willis seems building impressive track record working kid witness sixth sense haley joel osment great chemistry spencer breslin nice photography music ending wonderful uplifting great film see every member family,1
bad good bad violates geneva convention prohibition cruel unusual punishment reading synopsis even figure plot straight video disaster hodge podge grainy stock footage spliced together time worst acting ever misfortune see comparing incompetent turgid humorless mess dead men wear plaid like saying gigli like citizen kane talentless cast costumed cheap j c penney goin church clothes slightest attempt period hairstyle make really want see sort homage work check lost skeleton cadavra clever well written best performed actual actor agony watch matter seek work phoenix artist paul wilson whose sci fi short attack foot courtesy lady leaf film dust people terror tropic look sound like pulled street given script read one take insult bela lugosi boris karloff lon chaney anyone else involved film cannibalized make schlock fest money problem lot accomplished little expense good script decent actor z grade costume production design given called director created stinky pile cinematic offal let hope promise sequel come true far scariest thing shown whole movie,0
normally spike lee fan take time really get mojo see clear message ability tell story close heart lee genius unlike th hour bamboozled two favorite film clear story film able understand struggle washington choice play well influenced others odd reason lee never able get true feeling washington decent job handed could tell lee favorite film lee direct film also wrote could tell camera work horrid writing contributed decay film film coming full circle going pretty lee behind film right thing film seen lee direct brightest modest film almost created hollywood movie instead one know saw money right thing ran film demonstrate true talent br br anyone seen film perhaps stopped watching anything directed spike lee afterwards due film suggest give second chance get wrong see exactly coming film would want put behind lee grow work becomes see transformation desire make money wanting make good film took awhile watch th hour sheer brilliance perhaps actor perhaps story lee crafted amazing film one man journey unknown guess hoping mo better blue would turn really dark journey life man really never grew instead got denzel denzel really one versatile actor generation consider sydney poitier cinema film showcase talent br br another issue film use spike sister playing one love interest know family think could filmed sex scene sister care actor much money getting paid would never something never wish see apparently different spike went ahead showed full nude image sister without remorse sad even made blush also need somebody answer flavor flav introducing film sitting couch ready start film suddenly voice past spelling studio made film acknowledges build strong remaining story felt lee going money film instead actual talent perhaps could afford denzel wesley movie without explosion br br two great scene film made worth watching end get wrong bad movie always diamond every alleyway scene bleek accidentally forgets woman mesmerizing continually went back forth weaving truth confusion way proved lee actually behind camera visionary scene probably lost shuffle due remaining poor scene scene worth watching way lee introduced ended film keeping pacing direction able bring tragic character around full circle give chance change life two moment rest film pure rubbish worth viewing unless go blind br br grade,0
interesting train research flow started looking article cristo gate central park article stated maysles cristo filmographers year hmmm got looking body work believe one passed still filming cristo jean claude stage creation grey garden sounded interesting video station boulder co place look obscure offbeat course stock dvd vhs edith edie woman living past oh glorious past edith well born bouvier married well several wonderful relationship became singer forty daughter edie débutante fashion model many beau never married point thirty come home recuperate seems nervous disorder kind worrying much thing shadow world live though jackie came spruced place aunt cousin would evicted room mansion worn worn film notice fresh paint wall look carefully newspaper clipping see much dirty mess outfit edie come clever creative viewer get impression edith like go nude movie edith really quite beautiful see shadow beauty still sings tea two edie beauty day quite attractive good movie though everyone cat urinating behind edith portait state least someone want,1
wish would read review opinion movie rented waste money waste time little dialog dialog hard understand every way storyline plot weak thing nice cinematography br br character interesting time spend much time trying figure thing lack dialog rewinding movie lot br br watch movie mess leave feeling like mess br br say heck movie end,0
brother big asian movie fan finding movie hidden shop bought one dvd sounded promising wait watch watched movie brother must say beginning promising u really loved brutal ball scene first scene guess interesting fight action movie claim instead love movie cliché love extremely played top even shakespeare would vomit title sorry language way character act like picked street given  playing movie br br well brother watched end thought become better heck never movie challenged place brother worst movie ever seen list followed fantasy mission force watch either,0
spoiler fifth paragraph amazingly frank uh huh uh huh picture otto preminger carlyle production took chance making motion picture association america balked certifying film openly show junky jabbing syringe full heroin arm frank sinatra took chance playing addicted musician falling flat face role required least twice much acting ever done gamble paid movie classic though perfect br br nelson algren novel may great far much going fit comfortably two hour movie man golden arm minute often feel much longer however opinion frankie machine sinatra make film character sub plot involving frankie ultimately frankie addiction everyone everything seems dependent feel keenly pressure get much drum start pounding soundtrack frankie step across street well dressed friend louie br br exaggeration say frank sinatra music career ever really doldrums early limbo day touring big band la vega era eternity established serious actor career singer rebounded well man golden arm still significant challenge whole show sink swim performance pull skill several minute time forgot watching frank sinatra must known junky musician exploited knowledge utmost br br set side side billy wilder masterpiece lost weekend emphasis sociological cause addiction man golden arm whereas birnem ray milland lost weekend seems struggle mostly frankie machine beset external force take refuge needle neither approach wholly right wrong mostly addiction impossible fully explain seems like film might benefited little insight frankie internal struggle br br spoiler one problem film clichéd reliance quitting cold turkey realize man golden arm probably setting trend rather following make better beginning movie frankie appearance kicked habit help doctor treatment facility sort naturally drama film requires backslide found american ideal man face problem alone maybe help good woman place going cold turkey riding sunset kim novak seemed unrealistic end lost weekend similar opinion little le rosy,1
men love police movie filled action shooting chase etcetera br br boy let watching short unsatisfying movie seen hostage bank surrounding yet bad guy shoot multiple officer innocent people simply stay line fire without getting hit due kevlar br br shot hundred shot going back bank dumb hostage lock safe door bad guy went stupid director think br br okay shot fake documentary good seeing film got thought police get decent shooting course many cop swat real long break truly bad,0
everything film terrible start film pretty good cast find impossible make great cast biggest disaster gangster film genre ever sound track like one bad slap stick comedy music whole film started get quite irritating br br please please please please please inflict disaster hurt,0
first saw theater immediately fell love sad sony seen fit release dvd one day one day recently obtained vhs copy ebay sat watch year later happy report still stand test time acting spot john williams orchestration lush leslie bricusse song memorable older fill world love london london standouts enough said peter toole petula clarke michael redgrave michael bryant acting terence rattigan deserves update james hilton story really nothing like film good cheer selection glad released original soundtrack three cd set lot extra wish sony would hurry film,1
say without shadow doubt going overboard single worst film ever seen yes seen cujo adam sandler abomination schecky moskowitz wannabe comedian working cruise liner plot br br nothing else film make sense place like mad man breakfast wacky naked gun kind way frustrating throw shoe v kind way even general noriega make appearance reason comprehend certainly humour add mix miss australia worst australian accent ever heared something call worst film ever made going overboard even fit basic definition film highly recomend seeing film elevate standing every bad film ever see guarantee first thing say seeing bad film least bad going overboard,0
boston legal turned tail headed barn door th pig slop created show first aired almost four season back humorous slap legal system actor seem take pride portraying funny diversified extent factual character portrayed acceptable extent real portrayal sexual comment activity limited humorous julie bowen beautiful series participated dragged lower depth medium programming sex violence julie excellent actress need stable platform production rene adjurdubois excellent actor day benson production held field entertainment always showing humor respectful acting production captain kirk funny humorous candace bergan admired continuing production good actress james spader doubt acting ability however go back xxx origin crash appears much talent inclination direction ask series trashed already really starting smell,0
brought philip larkin life way worthy greatest performance time one measured popularity show stark portrayal larkins life greatest unrecognized poet era exactly would wanted disdain canker medallion dramatically expose raw beauty intense sadness philip observation relationship mortality lay way seems missed even great philosopher anyone interested profound observation relationship life love death must,1
legend gala hollywood premiere screening space odyssey minute film rock hudson yelled would somebody please tell hell movie well rock beaten minute second movie made absolutely sense people people rule game called quintet rule quintet robert altman cohort making movie went along paul newman thinking signed maybe ol fast eddie saw zardoz thought well connery get involved futuristic film make sense maybe good stuff cutting room floor get see incoherent stuff also cast get keep individual funny hat never saw bizarre looking hat one place life quintet confirms always thought altman good superb bad make stuff like quintet,0
caligula share many attribute fellini satyricon bizarre sight freakishness depiction sexual excess set glory ancient rome fellini first entertaining far much screen time devoted bug eyed rubber faced mcdowell titular role performance far fey campy convincing portrayal jay robinson robe david cain haughton emperor caligula far persuasive believable latter nuanced relief could judiciously provided developing surrounding character fully little cypher one example role macro played guido mannari tremendous screen presence important role mostly left background positive feature credit adroit use prokofiev stravinsky theme music score inclusion distasteful nevertheless accurate action despot two factor far le needed relieve prevailing tedium however,0
time get psycho toy maker named joe petto get make living evil toy kill people go family bad luck simply living house mutant robot son pino get used live br br easily worst hopefully presumably last semi series one previous one look like soft core porn movie without sex nudity kind like low rent hybrid halloween iii puppet master doll bad home movie supposedly started sixth chapter series abandoned never completed hope stay way br br star br br,0
stuff going moment mj started listening music watching odd documentary watched wiz watched moonwalker maybe want get certain insight guy thought really cool eighty maybe make mind whether guilty innocent moonwalker part biography part feature film remember going see cinema originally released subtle message mj feeling towards press also obvious message drug bad kay br br visually impressive course michael jackson unless remotely like mj anyway going hate find boring may call mj egotist consenting making movie mj fan would say made fan true really nice br br actual feature film bit finally start minute excluding smooth criminal sequence joe pesci convincing psychopathic powerful drug lord want mj dead bad beyond mj overheard plan nah joe pesci character ranted wanted people know supplying drug etc dunno maybe hate mj music br br lot cool thing like mj turning car robot whole speed demon sequence also director must patience saint came filming kiddy bad sequence usually director hate working one kid let alone whole bunch performing complex dance scene br br bottom line movie people like mj one level another think people stay away try give wholesome message ironically mj bestest buddy movie girl michael jackson truly one talented people ever grace planet guilty well attention gave subject hmmm well know people different behind closed door know fact either extremely nice stupid guy one sickest liar hope latter,1
stuffy melodrama quite easily worst film starring ingrid bergman seen even luminous screen presence save insufferably slow meandering movie nearly impossible sit without fast forwarding lot br br die hard bergman fan others likely fall asleep suggest watch bell toll instead,0
sat tv hoping name would worth time dear gussie whoever thought script worth producing basic idea excellent execution appallingly bad constantly illogical sequence scene ending almost laughably melodramatic poor rock hudson wanders understandably confused look slightly sagging face look like bad b movie,0
film begin little girl rita seeing father killed apparently criminal squealed fellow crook later part make little sense girl grown adulthood still father past haunt bit later rita meet good nothing date one date bit intoxicated driving like total fool cop give chase speed away killing pedestrian meantime come really stupid part convinces confess crime assures lawyer get scot free oh would agree yet spends next couple year prison soon conviction boyfriend disappears showing total heel chump later release friend jack la rue informs truth boyfriend explains boyfriend family loaded shake lot cash trouble put taking rap frankly make sense certainly owe especially since knew go prison every intention using casting aside br br idea bleeding money rich chump good plot idea however way would occurred first place hard believe anyone could stupid take rap hit run interesting twist dumb lady decides life crime donning wig picking rich guy taking desert robbing gunpoint wow changed apparently love idea stealing phony e rich hypocrite however made sense soon stopped began shaking father old boyfriend bothered petty robbery meantime made little sense also bit hard believe instead wanting money old jerk interested getting put influence behind mob controlled man mayor odd odd br br meantime another plot develops involving young alan ladd undercover agent infiltrated mob chosen happens dead ringer real crook cliché make sense real crook jail committing crime fake one infiltrating mob another town br br eventually evidence ladd able uncover enough issue warrant mob kingpin including rita case bad timing interim made decision become decent legitimate woman met really nice guy want marry wow odds overall goofy rather dumb movie suffers kitchen sink syndrome word way many plot element weird twist make movie least bit believable plus since movie little hour long seems forced contrived relatively bad b movie crap studio prc note performance alan ladd gained great fame following year paramount br br way dvd released alpha video company sometimes release wonderfully obscure title mostly public domain never clean print add closed caption word dvd production value strictly rd rate best,0
